ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
261209118,1/1/2023,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,K,77,0,45-64,F,BLACK,999335,186085,40.677426,-73.945615,POINT (-73.945615 40.677426)
262984267,2/3/2023,515,"CONTROLLED SUBSTANCE,SALE 3",117,DANGEROUS DRUGS,PL 2203901,F,K,73,0,25-44,M,BLACK,1009318,178259,40.655923,-73.90965,POINT (-73.90965 40.655923)
263664549,2/15/2023,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,K,62,0,25-44,M,WHITE,982272,158771,40.602468,-74.00712,POINT (-74.00712 40.602468)
261345231,1/4/2023,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,M,32,0,25-44,M,BLACK,999899,238684,40.821797,-73.943457,POINT (-73.943457 40.821797)
263536618,2/13/2023,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 12005WX,F,K,71,0,25-44,M,BLACK,1001437,183080,40.669175,-73.938042,POINT (-73.938042 40.669175)
262030390,1/17/2023,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,Q,113,0,45-64,F,BLACK,1040264,190275,40.688762,-73.79802,POINT (-73.79802 40.688762)
262362214,1/23/2023,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,M,32,0,25-44,M,BLACK,999439,236537,40.815904,-73.945123,POINT (-73.945123 40.815904)
264579718,3/4/2023,153,RAPE 3,104,RAPE,PL 1302503,F,K,67,0,<18,M,BLACK,997843,175671,40.64885075,-73.95101651,POINT (-73.951016510623 40.6488507469884)
262500981,1/25/2023,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",113,FORGERY,PL 1702500,F,M,14,0,45-64,M,BLACK,987078,215157,40.75723226,-73.98979219,POINT (-73.98979219 40.75723226)
265281035,3/17/2023,244,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,BURGLARY,PL 1402501,F,M,24,0,45-64,M,BLACK,992960,230413,40.79910212,-73.96854103,POINT (-73.96854103 40.79910212)
262721715,1/30/2023,263,"ARSON 2,3,4",114,ARSON,PL 1500500,F,K,61,71,65+,M,WHITE,1001022,156448,40.596076,-73.939603,POINT (-73.939603 40.596076)
262906326,2/2/2023,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,108,0,<18,M,BLACK,996643,209958,40.742954,-73.955274,POINT (-73.955274 40.742954)
263347526,2/9/2023,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 1600500,F,B,43,0,25-44,F,BLACK,1022949,244176,40.836798,-73.860143,POINT (-73.860143 40.836798)
266120251,4/4/2023,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211300,F,K,75,0,25-44,M,BLACK,1017119,183909,40.671404,-73.881509,POINT (-73.881509 40.671404)
264504888,3/3/2023,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,B,44,0,25-44,M,BLACK,1008392,241796,40.830318,-73.912759,POINT (-73.912759 40.830318)
266637010,4/13/2023,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,M,24,0,25-44,M,BLACK,993574,228738,40.794507,-73.966322,POINT (-73.966322 40.794507)
267225274,4/25/2023,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,K,75,0,45-64,M,WHITE,1016838,186672,40.678991,-73.882508,POINT (-73.882508 40.678991)
265199935,3/16/2023,157,RAPE 1,104,RAPE,PL 1303504,F,K,84,0,25-44,M,BLACK,988902,192641,40.69543881,-73.98322538,POINT (-73.9832253756043 40.6954388081238)
